
        aeat         rho           p          cp           t         isp          ae          cf
   0.0000E+00  7.7807E+00  7.3004E+00  8.2075E+01  5.9039E+00  3.5540E+03  1.1270E+03  1.0000E+00
   0.0000E+00  1.3251E+01  1.2663E+01  1.5199E+02  5.8802E+00  3.7470E+03  0.0000E+00  0.0000E+00
   0.0000E+00  8.1800E+00  7.8086E+00  8.7928E+01  5.8507E+00  3.5628E+03  1.1281E+03  1.0000E+00
   0.0000E+00  1.3897E+01  1.3485E+01  1.6212E+02  5.8311E+00  3.7564E+03  0.0000E+00  0.0000E+00
   0.0000E+00  8.5788E+00  8.3161E+00  9.3780E+01  5.8014E+00  3.5711E+03  1.1290E+03  1.0000E+00
   0.0000E+00  1.4542E+01  1.4307E+01  1.7225E+02  5.7854E+00  3.7652E+03  0.0000E+00  0.0000E+00
   0.0000E+00  8.9773E+00  8.8229E+00  9.9632E+01  5.7555E+00  3.5789E+03  1.1300E+03  1.0000E+00
   0.0000E+00  1.5186E+01  1.5127E+01  1.8238E+02  5.7427E+00  3.7736E+03  0.0000E+00  0.0000E+00
   0.0000E+00  9.3753E+00  9.3290E+00  1.0548E+02  5.7126E+00  3.5862E+03  1.1308E+03  1.0000E+00
   0.0000E+00  1.5830E+01  1.5946E+01  1.9252E+02  5.7027E+00  3.7815E+03  0.0000E+00  0.0000E+00
   0.0000E+00  9.7730E+00  9.8345E+00  1.1133E+02  5.6724E+00  3.5931E+03  1.1316E+03  1.0000E+00
   0.0000E+00  1.6473E+01  1.6764E+01  2.0265E+02  5.6649E+00  3.7890E+03  0.0000E+00  0.0000E+00
   0.0000E+00  1.0170E+01  1.0339E+01  1.1718E+02  5.6344E+00  3.5997E+03  1.1324E+03  1.0000E+00
   0.0000E+00  1.7116E+01  1.7582E+01  2.1278E+02  5.6293E+00  3.7961E+03  0.0000E+00  0.0000E+00
   0.0000E+00  1.0567E+01  1.0844E+01  1.2303E+02  5.5986E+00  3.6060E+03  1.1331E+03  1.0000E+00
   0.0000E+00  1.7758E+01  1.8398E+01  2.2291E+02  5.5955E+00  3.8029E+03  0.0000E+00  0.0000E+00
   0.0000E+00  1.0964E+01  1.1347E+01  1.2888E+02  5.5647E+00  3.6119E+03  1.1338E+03  1.0000E+00
   0.0000E+00  1.8399E+01  1.9214E+01  2.3305E+02  5.5635E+00  3.8093E+03  0.0000E+00  0.0000E+00
   0.0000E+00  1.1360E+01  1.1851E+01  1.3473E+02  5.5325E+00  3.6176E+03  1.1345E+03  1.0000E+00
   0.0000E+00  1.9040E+01  2.0028E+01  2.4318E+02  5.5330E+00  3.8155E+03  0.0000E+00  0.0000E+00
   0.0000E+00  1.1756E+01  1.2353E+01  1.4058E+02  5.5019E+00  3.6230E+03  1.1351E+03  1.0000E+00
   0.0000E+00  1.9681E+01  2.0842E+01  2.5331E+02  5.5040E+00  3.8215E+03  0.0000E+00  0.0000E+00
   0.0000E+00  1.2152E+01  1.2856E+01  1.4643E+02  5.4726E+00  3.6283E+03  1.1357E+03  1.0000E+00
   0.0000E+00  9.5209E+00  2.1656E+01  2.6344E+02  5.4762E+00  3.8272E+03  0.0000E+00  0.0000E+00
   0.0000E+00  5.8751E+00  1.3358E+01  1.5228E+02  5.4447E+00  3.6333E+03  1.1363E+03  1.0000E+00
   0.0000E+00  1.0182E+01  2.2468E+01  2.7358E+02  5.4496E+00  3.8327E+03  0.0000E+00  0.0000E+00
   0.0000E+00  6.2836E+00  1.3859E+01  1.5812E+02  5.4180E+00  3.6381E+03  1.1368E+03  1.0000E+00
   0.0000E+00  1.0843E+01  2.3280E+01  2.8371E+02  5.4242E+00  3.8380E+03  0.0000E+00  0.0000E+00
   0.0000E+00  6.6915E+00  1.4360E+01  1.6397E+02  5.3924E+00  3.6427E+03  1.1373E+03  1.0000E+00
   0.0000E+00  1.1503E+01  2.4092E+01  2.9384E+02  5.3997E+00  3.8431E+03  0.0000E+00  0.0000E+00
   0.0000E+00  7.0987E+00  1.4861E+01  1.6982E+02  5.3678E+00  3.6472E+03  1.1379E+03  1.0000E+00
   0.0000E+00  1.2161E+01  2.4902E+01  3.0398E+02  5.3763E+00  3.8481E+03  0.0000E+00  0.0000E+00
